id,name,city,address,phones,website,vk,ok,instagram,telegram,email,whatsapp,notes,status
CMP0001,Акрополь,Астрахань,"г. Астрахань, ул. Вильямса, 72","+7(8512) 74-24-20, +7(917) 177-35-67, +7(906) 457-60-92",https://akropol30.ru,https://vk.com/akropol30,,,,https://t.me/akropol30,,,OK
CMP0002,Эвлитос,Астрахань,г. Астрахань,+7(903) 955-81-17,https://astrahan.evlitos.ru,,,,,,wa.me/79039558117,227298@mail.ru,OK
CMP0003,Данила-Мастер,Астрахань,г. Астрахань,"8 (800) 100-13-39, +7 (902) 220-20-52",https://danila-master.ru,https://vk.com/danila_master,,,,https://t.me/+79022202052,mail@danila-master.ru,,OK
CMP0004,Дом памяти,Астрахань,"г. Астрахань, ул. Рождественского, 20З","+7(8512) 62-48-62, +7(927) 282-48-62, +7(917) 096-78-79",,,,,,,,,OK
CMP0005,АМК-Память,Астрахань,"г. Астрахань, ул. Рождественского, 23Б","+7(906) 457-60-92, +7(8512) 62-62-82",,,,,,,,,OK
CMP0006,Мастерская Ритуальных услуг,Астрахань,"г. Астрахань, ул. Фунтовское шоссе, 23-А",+7(927) 555-65-96,,,,,,,,,OK
CMP0007,Мемория,Астрахань,"г. Астрахань, Театральная ул., 25",+7(988) 067-80-26,,,,,,,,,OK
CMP0008,Рябина,Астрахань,г. Астрахань,,https://astrahan.rm-ryabina.ru,,,,,,,,OK
CMP0009,Дон Мемориал,Астрахань,"г. Астрахань, ул. Рождественского, 16/1","+7(8512) 41-46-66, +7(8512) 41-45-55",,,,,,,,,OK
CMP0010,Ритуальная мастерская,Астрахань,"г. Астрахань, 3-я Зеленгинская ул., 56Д",+7(927) 571-55-98,,,,,,,,,OK
CMP0011,Мир Памятников №1,Астрахань,"г. Астрахань, ул. Победы, 16А/18А","+7(988) 172-82-82, +7(937) 777-99-92",,,,,,,,,OK
CMP0012,Ритуал-Центр,Астрахань,"г. Астрахань, 3-я Зеленгинская ул., 56Н","+7(8512) 48-70-02, +7(927) 555-66-67",,,,,,,,,OK
CMP0013,Зодиак,Астрахань,"г. Астрахань, ул. Куйбышева, 6",+7(8512) 51-77-31,,,,,,,,,OK
CMP0014,Салон Камня,Астрахань,"г. Астрахань, ул. Рождественского, 20З","+7(8512) 62-48-62, +7(927) 282-48-62",,,,,,,,,OK
CMP0015,Гранит Памяти,Астрахань,"г. Астрахань, ул. Бабефа, 14","+7(903) 190-14-64, 8 (800) 700-43-42",https://astrahan.granit-pamyati.ru,,,,,,+7 (961) 386-96-57,,OK
CMP0016,Мастерская по изготовлению памятников,Астрахань,"г. Астрахань, ул. Рождественского, 16В",+7(906) 178-29-79,,,,,,,,,OK
CMP0017,Мир камней,Харабали,"г. Харабали, ул. Полевая, 2б",+7(937) 122-27-77,https://mir-kamney.su,mirkamney2009@mail.ru,,,,,,OK
CMP0018,Granit Memorial,Харабали,г. Харабали,+7(937) 816-20-08,,,,,,,,,OK
CMP0019,Ангел Стоунхаус,Нариманов,"пос. Трусово, Весенняя ул., 38Д, Наримановский р-н",+7(909) 376-70-69,https://ангел30.рф,https://vk.com/angelstonehouse,,,,,wa.me/79093767069,sheludko.1983@list.ru,OK
CMP0020,Памятники,Нариманов,"пос. Трусово, Весенняя ул., 32, Наримановский р-н",+7(961) 056-85-33,,,,,,,,,OK
CMP0021,Дом Памяти,Нариманов,"пос. Трусово, ул. Весенняя, 8Б","+7(8512) 728-070, +7(917) 000-05-19",https://dom-pam.ru,,,,,,,domp24@mail.ru,OK
CMP0022,КаменьПрестиж,Нариманов,"пос. Трусово, Весенняя ул.",+7(917) 190-25-58,,,,,,,,,OK
CMP0023,Ореол,Камызяк,"г. Камызяк, ул. Любича, 7Б",,,,,,,,,OK
CMP0024,Магазин ритуальных принадлежностей,Камызяк,"г. Камызяк, ул. Пушкина, 141а",,,,,,,,,OK
CMP0025,Memorial Plus,Камызяк,г. Камызяк,+7(8512) 48-70-01,,,,,,,,,OK
