"company","city","region","telegram_url","telegram_username","phone","source","type"
"Мир Памяти (ООО ""Мир Памяти"")","Краснодар","krasnodar","https://t.me/chat_mir_pamyati","@chat_mir_pamyati","+7 (918) 011-23-23","Каталог Telegram (tgstat.ru)","Канал/Чат"
"Gold Stone","Краснодар","krasnodar","https://t.me/+79183459123","@goldstone23","+7 (900) 288-00-06","goldstone23.ru","Прямая ссылка"
"OlympStone","Краснодар","krasnodar","https://t.me/+79183459123","@talkingstone","+7 (918) 345-91-23","goldstone23.ru","Прямая ссылка"
"Монолит","Краснодар","krasnodar","https://t.me/+79180328363","@monolit_krasnodar","+7 (918) 032-83-63","monolit-krasnodar.ru","Прямая ссылка"
"Мемориалум","Краснодар","krasnodar","https://t.me/memorialum","@memorialum","+7 (918) 972-36-11","memorialum.ru","Канал"
"Ritual.ru","Славянск-на-Кубани","krasnodar","https://t.me/ritualsupport","@ritualsupport","+7 (861) 202-95-74","ritual.ru","Поддержка"
"Небо (сеть филиалов)","Краснодар","krasnodar","https://t.me/neboodnosalebot","@neboodnosalebot","+7 (909) 753-50-50","nebo-odno.ru","Бот"
"Юг Гранит","Анапа","krasnodar","https://t.me/uggranit","@uggranit","+7 (918) 067-39-29","uggranit.ru","Канал"
"Карельский Монументъ","Новороссийск","krasnodar","https://t.me/karelgranit","@karelgranit","+7 (928) 232-63-72","karelgranit.ru","Канал"
"Память № 1","Славянск-на-Кубани","krasnodar","https://t.me/+79180405150","@pamyat_slavyansk","+7 (918) 040-51-50","2GIS","Прямая ссылка"
"Монумент23","Белореченск","krasnodar","https://t.me/+79181555554","@monument23_belorechensk","+7 (918) 155-55-54","monument23.ru","Прямая ссылка"
"Classic-design","Армавир","krasnodar","https://t.me/+79384074767","@classic_design_armavir","+7 (938) 407-47-67","2GIS","Прямая ссылка"
"Память навек","Краснодар","krasnodar","https://t.me/+79385079015","@pamyat_navek_krd","+7 (938) 507-90-15","память-навек.рф","Прямая ссылка"
"Ейская Мемориальная Компания","Ейск","krasnodar","https://t.me/+79615283884","@emk_eysk","+7 (961) 528-38-84","emkritual.ru","Прямая ссылка"
"Памятники ТКК","Ейск","krasnodar","https://t.me/pamiatniki_tkk_eysk","@pamiatniki_tkk_eysk","+7 (938) 404-41-11","Instagram/Telegram","Канал"
"Ритуалум","Краснодар","krasnodar","https://t.me/+79182792792","@ritualum_krd","+7 (918) 279-27-92","ritualum.ru","Прямая ссылка"
