id,name,city,address,phones,website,vk,ok,instagram,telegram,email,whatsapp,notes
CMP0001,"Мир Памяти (ООО ""Мир Памяти"")",Краснодар,"ул. Круговая, 24/2","+7 (861) 213-93-93, +7 (861) 213-96-00, +7 (861) 213-24-34, +7 (861) 213-96-96, +7 (861) 213-23-93, +7 (918) 011-23-23, +7 (989) 220-10-77, +7 (800) 555-17-25, +7 (961) 855-50-89, +7 (961) 855-90-78",https://mir-pamyati.ru,,,,https://t.me/+79618559078,zakaz-mirpamyati@yandex.ru,https://wa.me/79180112323,"Также бренд: Памятники-ЮГ; Филиал в Сочи: Альпийская ул., 110/8"
CMP0003,Мемориалум,Краснодар,"Круговая ул., 24А/1",+7 (918) 972-36-11,https://memorialum.ru,,,,https://t.me/memorialum,memorialum@bk.ru,https://wa.me/79189723611,
CMP0004,Мир гранита,Белореченск,"ул. Толстого, 134",+7 (416) 290-49-96,https://granitkamen.ru/,,,,https://t.me/vitalik_markevich,granitkamen.ru@mail.ru,https://wa.me/74162904996,
CMP0005,Мир Камня,Ейск,"Армавирская ул., 228","+7 (542) 579-81-07, +7 (938) 433-33-77",,,,,,,https://wa.me/75425798107,
CMP0007,Ritual.ru,Славянск-на-Кубани,"Пролетарская ул., 100",+7 (861) 202-95-74,https://krd.ritual.ru,,,,https://t.me/ritualsupport,,https://wa.me/79251379573,
CMP0008,Данила-Мастер (Краснодарский филиал),Краснодар,,"+7 (861) 204-19-97, +7 (902) 220-20-52",https://danila-master.ru,,,,https://t.me/+79022202052,,https://wa.me/78612041997,Филиал в Анапе; Федеральная сеть
CMP0009,Небо (сеть филиалов),Краснодар,"ул. Красных Партизан, 367","+7 (861) 210-36-83, +7 (909) 753-50-50",https://nebo-odno.ru,,,,https://t.me/neboodnosalebot,op.nebo1@gmail.com,https://wa.me/79097535050,"Филиалы: Кропоткин (ул. Шаумяна 28, ул. Льва Толстого 64, Шоссейная 65); Лабинск (ул. Победы 45А, Садовая 19, ул. Победы 159); Славянск-на-Кубани (Пролетарская 100); Анапа (Мирная 12, 24, ул. Мира 69, Советская 8А, Парковая 86)"
CMP0011,Память,Армавир,"ул. Мира, 69","+7 (861) 372-33-99, +7 (861) 376-39-99",https://pamyat-armavir.ru/index.php?_route_=contact-us,,,,,,https://wa.me/78613723399,
CMP0012,Некрополь,Армавир,"ул. Ефремова, 66",+7 (861) 373-22-01,https://nekropol-salon-ritualnykh-uslug-vs.orgs.biz,,,,,,https://wa.me/78613732201,
CMP0013,МГУ Укх,Лабинск,"ул. Победы, 45А",+7 (861) 697-37-86,,,,,,,https://wa.me/78616973786,
CMP0014,Gold Stone,Краснодар,"микрорайон Славянский, улица 4-я Линия, 118","+7 (900) 288-00-06, +7 (918) 345-91-23",,,,,,,https://wa.me/79002880006,
CMP0015,Гранум,Тихорецк,"ул. Энгельса, 316В","+7 (901) 013-21-60, +7 (989) 273-14-41",https://granum.su,,,,,antonov05@mail.ru,https://wa.me/79010132160,
CMP0018,Центр Гранита (Тихорецк),Тихорецк,"ул. Энгельса, 316/6",+7 (909) 458-58-66,https://centr-granita.ru,,,,,info-sentrgranita@mail.ru,https://wa.me/79181457570,"Coverage: Тихорецк, ст. Фастовецкая, ст. Новорожденская"
CMP0019,Ритуал Кубани,Краснодар,"Бискайская ул., 1/5","+7 (913) 429-88-88, +7 (918) 624-41-44, +7 (918) 373-08-80",https://rt-kubani.ru,,,,,rt-kubani@yandex.ru,https://wa.me/79134298888,
CMP0022,Геолис,Ейск,"Армавирская ул., 200",+7 (918) 024-75-21,https://geolis.clients.site,,,,,geolis-eysk@yandex.ru,https://wa.me/79180247521,
CMP0023,Светлая Память,село Юровка,"Крымская ул., 58",+7 (982) 190-34-75,https://vk.link/svetlayapamyat42,https://vk.com/svetlayapamyat42,,,,ivandanilov1987@mail.ru,https://wa.me/79180401115,
CMP0024,Память № 1,Славянск-на-Кубани,"Красная ул., 162/4","+7 (918) 040-51-50, +7 (918) 469-74-60",,,,,,,https://wa.me/79180405150,
CMP0025,Монумент23,Белореченск,"Солнечная аллея, 17",+7 (918) 155-55-54,https://monument23.ru,,,,,monymentbelora@mail.ru,https://wa.me/79181555554,"Доп. адреса: Аэродромная ул., 10; Новая ул., 12, п. Родники"
CMP0026,Мир Камня (Туапсе-Ритуал),Туапсе,"ул. Богдана Хмельницкого, 37",+7 (918) 230-97-04,https://tuapse-ritual.ru,,,,,vitrox@mail.ru,https://wa.me/79182309704,"ООО Ритуал, работает с 2001 года"
CMP0027,Памятный двор,Белореченск,"Белореченский р-н. пос. Родники, ул. Проточная 6",+7 (918) 468-72-46,https://pambel.ru,,,,,37071@mail.ru,https://wa.me/79182498286,
CMP0028,Магазин памятники,Славянск-на-Кубани,"Красная ул., 161",+7 (918) 272-82-54,,,,,,,https://wa.me/79182728254,
CMP0029,Ритуалум (сеть филиалов),Краснодар,"Ипподромная ул., 10Г","+7 (918) 279-27-92, +7 (988) 240-97-47",https://ritualum.ru,,,,,,https://wa.me/79182792792,"Филиалы: Новороссийск (ул. Осоавиахима 239); Сочи (Высокогорная 40A); Белореченск (Новая 12, п. Родники); Армавир (Урупская 100); Туапсе (ул. Богдана Хмельницкого 37, ул. Галины Петровой 1, Майкопская 50, ул. Гагарина 9, Майкопская 62)"
CMP0030,Изготовление Памятников (Вечная память),Армавир,"ул. Ефремова, 248",+7 (988) 379-70-70,http://pamyat-armavir.ru,https://vk.com/club176669156/,,https://www.instagram.com/pamyatarmavir/,,pamyat2006@yandex.ru,https://wa.me/79182860000,
CMP0034,Мастерская Монумент (Краснодар),Краснодар,ул. 4 линия 64,"+7 (918) 316-30-66, +7 (952) 826-07-10",http://monument-krd.com,,,,,and.prokhorov@mail.ru,https://wa.me/79183163066,
CMP0036,Мастерская Альтаир,Краснодар,"ул. Воронежская, 122/2","+7 (918) 399-99-16, +7 (918) 399-99-56",https://altair-master.ru,,,,,aldan05@yandex.ru,https://wa.me/79183999916,
CMP0039,Белорапам,посёлок Родники,"Проточная ул., 6",+7 (918) 428-81-45,https://belorapam.ru,,,,https://t.me/markus_kims,,https://wa.me/79184288145,
CMP0040,Феникс,Белореченск,"Полевая ул., 1А","+7 (918) 441-28-10, +7 (918) 472-61-75",https://stella23.ru/contact,,,,,epgustov@mail.ru,https://wa.me/79184412810,
CMP0041,Первый завод памятников,Горячий Ключ,"ул. Псекупская, д. 128в/3",+7 (918) 990-01-30,https://pam1.ru,,,,,,https://wa.me/79184851569,
CMP0042,Ритуальная мастерская Грааль,Тихорецк,"ул. Меньшикова, 41",+7 (918) 499-15-29,https://graaltih.wixsite.com/website,,,,,graaltih@ya.ru,https://wa.me/79184991529,
CMP0043,Granittemryuk.ru,Темрюк,"ул. Карла Маркса, 202/1","+7 (918) 655-01-76, +7 (918) 314-72-03, +7 (988) 470-70-49",https://granittemryuk.ru,,,,,,https://wa.me/79186550176,
CMP0045,Центр ритуальных услуг,Белореченск,"ул. Мира, 42",+7 (918) 689-12-22,,,,,,,https://wa.me/79186891222,
CMP0046,Монумент,село Барановка,"СНТ Малинка, 37, Сочи",+7 (988) 888-20-47,https://sochi.monument123.ru/nashi-raboty,,,,,monument-23@mail.ru,https://wa.me/79189345145,
CMP0047,Ритуальный магазин № 1,Лабинск,"ул. Победы, 280/1",+7 (918) 958-73-73,,,,,,,https://wa.me/79189587373,
CMP0048,Похоронная городская служба,Горячий Ключ,"ул. Революции, 6","+7 (918) 961-59-29, +7 (861) 244-78-98, +7 (918) 444-44-13",,,,,,,https://wa.me/79189615929,
CMP0049,Вознесение,Лабинск,"Владимирская ул., 49","+7 (918) 982-88-01, +7 (86169) 3-44-89",http://ritual-labinsk.ru,,,,,,https://wa.me/79189828801,
CMP0050,ЛабинскПамятник,Лабинск,"ул. Армавирское Шоссе, 20","+7 (928) 408-41-27, +7 (918) 431-11-06",https://labinskpamyatnik.ru,,,,,elena_d777@mail.ru,https://wa.me/79284084127,
CMP0051,Каменный рай,Горячий Ключ,"Кирпичная ул., 3А",+7 (928) 437-85-58,https://pamgk.ru,https://vk.com/pamyatnikigk,,,https://t.me/pamyatniki_gk,info@pamgk.ru,https://wa.me/79284378558,
CMP0052,Галерея камня,Краснодар,"Московская ул., 67",+7 (928) 441-14-55,https://xn----7sbbjla0beok1a5pf.xn--p1ai,,,,,,https://wa.me/79284411455,
CMP0053,Памятники ТКК,Ейск,"ул. Богдана Хмельницкого, 234",+7 (938) 404-41-11,,,,https://www.instagram.com/pamiatniki_tkk_eysk,https://t.me/pamiatniki_tkk_eysk,,https://wa.me/79384044111,
CMP0054,Classic-design,Армавир,"СНТ Восход, 1","+7 (938) 407-47-67, +7 (928) 040-32-52",,,,,,,https://wa.me/79384074767,
CMP0055,Память навек,Краснодар,"ул. Атарбекова, 22, Фестивальный микрорайон",+7 (938) 507-90-15,https://память-навек.рф,,,,https://t.me/+79385079015,pamyat-navek@yandex.ru,https://wa.me/79385079015,
CMP0058,Мемори-камень,Туапсе,"Краснодарский край, Туапсе, 18",+7 (918) 020-09-86,https://krasnodar.memorygranit.ru,https://vk.ru/operascua,,,https://t.me/+79180200986,memorygranit@mail.ru,https://wa.me/79821903475,
CMP0059,Центр-Камня,Белореченск,"Аэродромная ул., 1В","+7 (964) 904-90-63, +7 (988) 470-30-85",,,,,,,https://wa.me/79649049063,
CMP0060,Память,Краснодар,"Северная ул., 152",+7 (964) 930-06-00,https://www.pamyat-93.ru,,,,,,https://wa.me/79649300600,
CMP0061,Монумент Стоун,Белореченск,"ул. Советской армии, 87","+7 (983) 549-48-07, +7 (918) 445-50-26",https://monument-stone.ru,,,,,maik.24.04.1990@mail.ru,https://wa.me/79835494807,
CMP0063,Центр'Гранита Памятники,Краснодар,"Белореченский район, посёлок Южный","+7 (988) 527-80-00, +7 (918) 437-80-00",https://granitkamen.ru,,,,,,https://wa.me/79885278000,
CMP0064,Фабрика Памятников,Темрюк,"ул. Мороза, 35",+7 (989) 762-81-01,,,,,https://t.me/fabrika_pamyatnikov_temryuk,,https://wa.me/79897628101,
CMP0065,Мироздание памяти,Новороссийск,ул. Борисовская 59,"+7 (989) 832-44-42, +7 (918) 666-66-38",https://mirozdaniepamyati.ru,,,,https://t.me/mirozdaniepamyati,mirozdaniepamyati@ya.ru,https://wa.me/79186666638,
CMP0066,OlympStone,Краснодар,"ул. Круговая, 40",+7 (918) 345-91-23,https://goldstone23.ru,,,,https://t.me/+79183459123,goldstone23@yandex.ru,https://wa.me/79183459123,Доп. Telegram: https://t.me/talkingstone
CMP0067,Ейская Мемориальная Компания,Ейск,"ул. Карла Маркса, 48",+7 (961) 528-38-84,https://emkritual.ru/contact,,,,https://t.me/+79615283884,,https://wa.me/79615283884,
CMP0068,Юг Гранит,Анапа,"ул. Смолянка, 20, хутор Воскресенский","+7 (918) 067-39-29, +7 (918) 062-44-55",,,,,https://t.me/uggranit,info@uggranit.ru,,
CMP0069,Карельский Монументъ,Новороссийск,"ул. Героев Десантников, 24",+7 (928) 232-63-72,https://karelgranit.ru,,,,https://t.me/karelgranit,sale@karelgranit.ru,,
CMP0070,Гарант,Армавир,"ул. Маяковского, 138",+7 (918) 988-52-53,,,,https://www.instagram.com/garant_pamyatniki,,,,
CMP0071,Монолит,Краснодар,"Красноармейская ул., 62, микрорайон Центральный","+7 (918) 658-46-83, +7 (918) 032-83-63, +7 (861) 298-36-52",https://monolit-krasnodar.ru,,,,https://t.me/+79180328363,info@monolit-krasnodar.ru,https://wa.me/79180328363,Доп. Telegram: https://t.me/+79316666099, https://t.me/+79186584683
CMP0073,Первый завод Памятников,Белореченск,"ул. Шопина, 147А",+7 (989) 820-05-00,https://pzp23.ru,,,,,foto_grav@mail.ru,,
CMP0079,Памятники премиум гранит,Белореченск,"п.Родники, ул.Новая, 12",+7 (918) 677-35-55,https://elitestones.ru,,,,https://t.me/elitcamen,nrezepin@yandex.ru,https://wa.me/79186773555,
CMP0083,Память,Новороссийск,"ул. Лейтенанта Шмидта, 1",+7 (918) 371-80-17,,,,,,,https://wa.me/79184855004,
