id;name;city;address;phones;website;vk;ok;instagram;telegram;email;whatsapp;notes;status
CMP0001;Гранит (Кагальницкое шоссе, 5);Азов;Кагальницкое шоссе, 5;;;;;;;;;;unknown
CMP0002;Гранит (Кооперативная ул.);Азов;Кооперативная улица, 10;;;;;;;;;5 филиалов;unknown
CMP0003;Гранит (мемориальная компания, Кагальницкое шоссе);Азов;Кагальницкое шоссе, 3Б;+7 904 344-28-44;;;;;;;;Рейтинг 2.5;active
CMP0004;Мастерская памятников Гранит;Азов;просп. Зои Космодемьянской, 62;+7 (904) 344-28-44;;;;;;;;вт-вс 09:00–16:00;active
CMP0005;Ритуалум Азов;Азов;;;https://azov.ritualum.ru;;;;;;;;active
CMP0006;Мемориал Дон (Аксай);Аксай;Западная ул., 2А;+7 (863) 273-33-34, +7 (928) 109-66-77;;;;;;;;Гравёрные работы;active
CMP0007;Монумент;Аксай;Садовая ул., 33, павильон 5;;;;;;;;;;unknown
CMP0008;Памятники (Садовая ул.);Аксай;Садовая ул., 12А, корп. 3;+7 918 576 74 56;;;;;;;;Акция: Гранитная ваза в подарок;active
CMP0009;Первая мемориальная компания;Аксай;Проспект Ленина, 53;;;;;;;;;;unknown
CMP0010;РЫБАКОВЪ и К;Аксай;ул. Чапаева, 173;;https://ritualrostov.ru;;;;;;;;active
CMP0011;СМ Регион;Аксай;Западная ул.;;;;;;;;;;unknown
CMP0012;Аргранит161;Батайск;ул. Тельмана, 1;+7 928 960 33 27;;;;;;;;;active
CMP0013;Вечность (Ритуальный салон);Батайск;ул. Куйбышева, д. 140/а;;;;;;;;;;unknown
CMP0014;Гранит (мемориальная компания);Батайск;ул. Максима Горького, 154;+7 (904) 344-28-44;;;;;;;;Доставка;active
CMP0015;Ритуальные услуги Гранит;Батайск;;+7 918 393-87-14, +7 918 323-42-72;https://ритуал-гранит.рф;;;;;;;"пн-пт 8:00-17:00; выходные 8:00-14:00";active
CMP0016;Ритуальные услуги Крым-Гиреевская;Батайск;Крым-Гиреевская ул., 32А;+7 (961) 273-17-73;;;;;;;;село Новобатайск, круглосуточно;active
CMP0017;Ритуальный магазин (ИП Каплина Л.В.);Батайск;пер. Книжный, д. 4;;;;;;;;;;unknown
CMP0018;Ритуальный салон Память;Белая Калитва;ул. Энтузиастов, д 10 В;;https://www.bkmemory.ru;;;;;;;Изготовление и установка памятников из гранита и мрамора, укладка плитки;active
CMP0019;Evlitos;Волгодонск;;;https://volgodonsk.evlitos.ru;;;;;;;Памятники от 9000 руб;active
CMP0020;Stone House;Волгодонск;;;;;;;;;;Рейтинг 4.9;unknown
CMP0021;Данила-Мастер Волгодонск;Волгодонск;;;https://volgodonsk.danila-master.ru;;;;;;;Карельский гранит, гарантия 25 лет;active
CMP0022;ПБ Гранит;Волгодонск;;+7 918 858 91 89;;;;;;;;25 фото на Яндексе;active
CMP0023;Памятники Доверие;Волгодонск;Морская, 64;+7 989 724-30-79, +7 989 612-94-79;;https://vk.com/pamyatniki_doverie_vd;;;;;;Гранит, мрамор, оградки, столы, лавки, кресты;active
CMP0024;Донмонолит;Гуково;;;;https://vk.com/donmonolit;;;;;;ОПТовые цены от производителя;unknown
CMP0025;Памятники Дон Гранит;Гуково;Шахтёрская ул., 34/4;+7 (928) 120-51-11, +7 (960) 465-31-77;;;;;;;;ежедневно, 09:00–20:00;active
CMP0026;Ритуальные услуги Феникс;Гуково;ул. Красная Горка, 2;+7 (960) 443-22-00;;;;;;;;круглосуточно;active
CMP0027;Granite161;Донецк;пр-т. Ленина, 33;+7 (901) 000-10-19, +7 (928) 609-27-11;https://granite161.ru;;;;;pamytnik-doneck@mail.ru;;;active
CMP0028;X-granit;Донецк;ул. Суворова;;https://x-granit.ru;;;;;info@x-granit.ru;;;active
CMP0029;Гранит (магазин памятников, Тимирязева);Донецк;ул. Тимирязева, 11;+7 928 765-00-00;;;;;;;;;active
CMP0030;Гранит-Экспорт;Донецк;ул. Тимирязева, 25;+7 (918) 585-03-22, +7 (86368) 2-71-14, +7 (903) 435-66-22, +7 (918) 523-46-22;https://granit-export.ru;;;;;;;Производственная компания. Опт и розница;active
CMP0031;ГранитДонецк;Донецк;Украинское шоссе, 25В;+7 928 765-59-66, +7 928 750-78-60;https://granitdonetsk.ru;;;;;donetsk.vyacheslav.granit@yandex.ru;;;active
CMP0032;Гранитная мастерская Ольги;Донецк;ул. Тимирязева, 41;+7 (928) 139-23-39;https://гранитная-мастерская.рф;;;;;donstiks@mail.ru;+79281392339;;active
