id;name;city;address;phones;website;vk;ok;instagram;telegram;email;whatsapp;notes;status;completeness_score;filled_fields;priority
CMP0001;Азов Мемориал;Азов;(уточнить по сайту);;https://www.azovmemorial.ru;;;;;;;Сайт azovmemorial.ru не работает (домен продается). Требуется ручная проверка.;unknown;15;['website'];Критический
CMP0002;Гранит (Кагальницкое шоссе, 5);Азов;Кагальницкое шоссе, 5;;;;;;;;;;unknown;20;['address'];Критический
CMP0003;Гранит (Кооперативная ул.);Азов;Кооперативная улица, 10;;;;;;;;;5 филиалов;unknown;20;['address'];Критический
CMP0004;Гранит (мемориальная компания, Кагальницкое шоссе);Азов;Кагальницкое шоссе, 3Б || просп. Зои Космодемьянской, 62;+79043442844;;;;;;;;"[База А]: Рейтинг 2.5; [База Б]: вт-вс 09:00–16:00; ТРЕБУЕТСЯ РУЧНАЯ ПРОВЕРКА";active;50;['phones', 'address'];Высокий
CMP0005;Заказ-памятников.рф (Азов);Азов;(уточнить);+7 (918) 899-51-62;https://заказ-памятников.рф;;;;;;;+79188995162;Филиал.;45;['phones', 'website'];Высокий
CMP0006;Компания (памятники);Азов;ул. Кооперативная, 12/1а;;;;;;;;;Данные 2ГИС.;unknown;20;['address'];Критический
CMP0007;Ритуалум Азов;Азов;центральное кладбище;+7 (918) 279-27-92;https://azov.ritualum.ru;;;;;ritualum@yandex.ru;;Найдено при обогащении. Источник: azov.ritualum.ru;active;75;['website'];Средний
CMP0008;Мастерская памятников (Аксай — через сети);Аксай;(уточнить);+79185767456;;;;;;;;Покрытие через сети: Заказ-памятников.рф, Обелиск 61, Ritual-Regions. Отдельных местных мастерских не обнаружено.;active;30;['phones'];Критический
CMP0009;Мемориал Дон (Аксай);Аксай;Западная ул., 2А;+7 (863) 273-33-34, +7 (928) 109-66-77;;;;;;;;Гравёрные работы;active;50;['phones', 'address'];Высокий
CMP0010;Монумент;Аксай;Садовая ул., 33, павильон 5;;;;;;;;;;unknown;20;['address'];Критический
CMP0011;Памятники (Садовая ул.);Аксай;Садовая ул., 12А, корп. 3;+7 918 576 74 56;;;;;;;;Акция: Гранитная ваза в подарок;active;50;['phones', 'address'];Высокий
CMP0012;Первая мемориальная компания;Аксай;Проспект Ленина, 53;;;;;;;;;;unknown;20;['address'];Критический
CMP0013;РЫБАКОВЪ и К;Аксай;ул. Чапаева, 173;;https://ritualrostov.ru;;;;;;;;active;35;['address', 'website'];Высокий
CMP0014;СМ Регион;Аксай;Западная ул.;;;;;;;;;;unknown;20;['address'];Критический
CMP0015;Аргранит161;Батайск;ул. Тельмана, 1;+7 928 960 33 27;;;;;;;;;active;50;['phones', 'address'];Высокий
CMP0016;Вечность (Ритуальный салон);Батайск;ул. Куйбышева, д. 140/а;;;;;;;;;;unknown;20;['address'];Критический
CMP0017;Гранит (мемориальная компания);Батайск;ул. Максима Горького, 154;+7 (904) 344-28-44;;;;;;;;Доставка;active;50;['phones', 'address'];Высокий
CMP0018;ДонМонолит (Батайск);Батайск;(уточнить);;https://donmonolit.ru;;;;;;;Филиал.;active;15;['website'];Критический
CMP0019;Заказ-памятников.рф (Батайск);Батайск;(уточнить);+7 (918) 899-51-62;https://заказ-памятников.рф;;;;;;;+79188995162;Филиал.;45;['phones', 'website'];Высокий
CMP0020;Компания (памятники);Батайск;ул. Совхозная, 6а;;;;;;;;;Данные 2ГИС.;unknown;20;['address'];Критический
CMP0021;Ритуальные услуги Гранит;Батайск;;+7 918 393-87-14, +7 918 323-42-72;https://ритуал-гранит.рф;;;;;;;"пн-пт 8:00-17:00; выходные 8:00-14:00";active;45;['phones', 'website'];Высокий
CMP0022;Ритуальные услуги Крым-Гиреевская;Батайск;Крым-Гиреевская ул., 32А;+7 (961) 273-17-73;;;;;;;;село Новобатайск, круглосуточно;active;50;['phones', 'address'];Высокий
CMP0023;Ритуальный магазин (ИП Каплина Л.В.);Батайск;пер. Книжный, д. 4;;;;;;;;;;unknown;20;['address'];Критический
CMP0024;ДонМонолит (Белая Калитва);Белая Калитва;(уточнить);;https://donmonolit.ru;;;;;;;Филиал.;active;15;['website'];Критический
CMP0025;Заказ-памятников.рф (Белая Калитва);Белая Калитва;ул. Большая;+7 (918) 899-51-62;https://заказ-памятников.рф;;;;;;;+79188995162;Филиал.;65;['phones', 'address', 'website'];Средний
CMP0026;Ритуальный салон Память;Белая Калитва;ул. Энтузиастов, д 10 В;;https://www.bkmemory.ru;;;;;;;Изготовление и установка памятников из гранита и мрамора, укладка плитки;active;35;['address', 'website'];Высокий
CMP0027;Evlitos;Волгодонск;;+7 (903) 955-81-17;https://volgodonsk.evlitos.ru;;;;+7 (903) 955-81-17;227298@mail.ru;+7 (903) 955-81-17;Найдено при обогащении. WhatsApp/Viber/Telegram: +7 (903) 955-81-17. Режим работы: Пн-Пт 9:00-18:00, Сб 9:00-16:00. Источник: volgodonsk.evlitos.ru;active;65;['website'];Средний
CMP0028;Stone House;Волгодонск;;+78633220366, +78633220363;;;;;;stone_house@bk.ru;;Рейтинг 4.9;active;40;['phones', 'email'];Высокий
CMP0029;Данила-Мастер Волгодонск;Волгодонск;;8 (800) 100-13-39;https://volgodonsk.danila-master.ru;https://vk.com/danila_pamyatniki;;;;mail@danila-master.ru;;Найдено при обогащении. Федеральная сеть. Источник: volgodonsk.danila-master.ru;active;60;['website'];Высокий
