id,name,city,address,phones,website,vk,ok,instagram,telegram,email,whatsapp,notes,status
CMP0002,Монумент,Ставрополь,"ул. Коломийцева, 35","+7 (961) 441-91-33, 8-800-700-70-61, +7 (962) 454-40-51",monument-26.ru,https://vk.com/monument.stav,,,https://t.me/+79624544051,"monument26@yandex.ru, aftoalex@mail.ru",https://wa.me/79624544051,"Филиалы: Доваторцев 75а к.4, Тельмана 241, Новейшее кладбище, Коломийцева 36",OK
CMP0004,Вечность,Ставрополь,"Шпаковская ул., 107д","+7 (8652) 30-26-62, +7 (8652) 59-96-96, +7 (8652) 30-27-33",vechnost26.com,https://vk.com/pamyatniki_stavropol,,,http://t.me/pamyatniki26,vechnost26stav@mail.ru,https://wa.me/78652599696,"Также филиал: Индустриальная ул., 31",OK
CMP0005,СтавРитуал,Ставрополь,"Игнатьевское кладбище, здание №2","+7 (8652) 62-39-39, +7 (918) 888-33-33",stawritual.ru,,,,https://t.me/79188883333,stawritual@mail.ru,https://wa.me/79188883333,,OK
CMP0006,Ангел,Ставрополь,"ул. Калина Красная-8, 141","+7 (962) 400-70-22, +7 (962) 445-35-35, +7 (918) 885-47-87",zoon.ru/stavropol/ritual/ritualnoe_agentstvo_angel,,,,,,angelservices@yandex.ru,,НАЙДЕН на zoon.ru; +телефон
CMP0007,Мир Гранита26,Ставрополь,"СДТ Калина Красная, 157","+7 (962) 442-08-88",mir-granita26.ru,,,,,mir-granita26@mail.ru,https://wa.me/79624420888,,OK
CMP0008,Память в Камне,Ставрополь,"ул. Серова, 6А","+7 (8652) 92-54-20, +7 (962) 402-54-20, +7 (963) 126-01-26",2gis.ru/stavropol/firm/70000001077194229,,,,,,,"Также филиал: просп. Кулакова, 79",НАЙДЕН на 2gis; +телефон
CMP0009,Мастерская Люлин В. В.,Ставрополь,"ул. Космонавтов, 24","+7 (8652) 92-80-80",masterskaya-granita.ru,,,,https://t.me/borchik26,lyulin.vlad26@yandex.ru,"https://wa.me/79886790954, https://wa.me/79064792070",,OK
CMP0010,Ритуал,Ставрополь,"ул. Калина Красная-6, 118А","+7 (928) 321-99-06",zoon.ru/stavropol/ritual/ritualnyj_salon_ritual,,,,,,,,"НАЙДЕН на zoon.ru; +телефон"
CMP0011,Обелиск,Ставрополь,"ул. 8 Марта, 133",,xn--26-9kcqpmfv5a.xn--p1ai,,,,,,,,"OK (обелиск-26.рф)"
CMP0012,Ритуал сервис,Ставрополь,"ул. 8 Марта, 68","+7 (905) 492-22-00",rts26.ru,,,,,,,"Круглосуточно","НАЙДЕН - сайт работает! +телефон"
CMP0013,Салон памятники,Ставрополь,"Октябрьская ул., 202","+7 (909) 770-34-32",terep.ru,,,,,terekhoff26@yandex.ru,,,OK
CMP0014,Успение,Ставрополь,"Октябрьская ул., 123","+7 (918) 807-27-27",zoon.ru/stavropol/ritual/ritualnyj_magazin_na_oktyabrskoj_ulitse_123,,,,,,,,"OK"
CMP0015,Мемориал,Ставрополь,"Фестивальный пр., 10А, мкр. № 28",,monument26.com,,,,,,,,"OK (тот же сайт что у CMP0002)"
