id,name,city,address,phones,website,vk,ok,instagram,telegram,email,whatsapp,notes,status
CMP0002,Монумент,Ставрополь,"ул. Коломийцева, 35","+7 (961) 441-91-33, 8-800-700-70-61, +7 (962) 454-40-51, +7 (961) 477-24-77",monument-26.ru,https://vk.com/monument.stav,,,https://t.me/+79624544051,"aftoalex@mail.ru, monument26@yandex.ru",https://wa.me/79624544051,"Филиалы: Коломийцева 35, Доваторцев 75а к.4, Новейшее кладбище, Грачевка, Светлоград, Ипатово.",OK
CMP0004,Вечность,Ставрополь,"ул. Индустриальная, 31","+7 (8652) 30-26-62, +7 (8652) 59-96-96, +7 (8652) 30-27-33",vechnost26.com,https://vk.com/pamyatniki_stavropol,,,http://t.me/pamyatniki26,manager@vechnost26.com,https://wa.me/78652599696,"Также филиал: Индустриальная ул., 31",OK
CMP0005,СтавРитуал,Ставрополь,"Игнатьевское кладбище, здание №2","+7 (8652) 62-39-39, +7 (918) 888-33-33",stawritual.ru,,,,https://t.me/79188883333,stawritual@mail.ru,https://wa.me/79188883333,,OK
CMP0007,Мир Гранита26,Ставрополь,"ул. Калина красная 8, д.157","+7 (962) 442-08-88, +7 (8652) 58-99-58",mir-granita26.ru,,,,"https://t.me/mir_granita26, https://t.me/Pamyatniki_mirgranita26",mir-granita26@mail.ru,https://wa.me/79624420888,,OK
CMP0008,Память в Камне,Ставрополь,"ул. Серова, 6А","+7 (8652) 92-54-20, +7 (962) 402-54-20, +7 (963) 126-01-26, +7 (988) 752-24-10",2gis.ru/stavropol/firm/70000001077194229,,,https://www.instagram.com/pamyatniki_26/,,,,Адреса: ул. Серова 6А; просп. Кулакова 79. Соцсети найдены через поиск.,OK
CMP0009,Мастерская Люлин В. В.,Ставрополь,"ул. Космонавтов, 24","+7 (8652) 92-80-80, +7 (906) 479-20-70 (Нелли), +7 (988) 679-09-54 (Андрей)",masterskaya-granita.ru,,,,https://t.me/borchik26,lyulin.vlad26@yandex.ru,"https://wa.me/79064792070, https://wa.me/79886790954",,OK
CMP0010,Ритуал,Ставрополь,"ул. Калина Красная-6, 118А","+7 (928) 321-99-06, +7 (8652) 21-99-06, +7 (8652) 38-60-43, +7 (928) 321-99-03",,,,,,,https://wa.me/79283219906,"Сайт salonritual.net не работает. Данные из справочников 2ГИС, Spravka.ru.",OK
CMP0013,Салон памятники,Ставрополь,"Октябрьская ул., 202",7(962)-420-33-09,terep.ru,,,,,terekhoff26@yandex.ru,,,OK
CMP0017,Мавзолей,Ставрополь,"пер. Буйнакского, 2/3",+7 (928) 321-27-27,mavzoley.com,,,,,info@mavzoley.com,https://wa.me/79880996688,,OK
CMP0018,Ритуальные услуги,Ставрополь,"ул. Тельмана, 230а",+7 (8652) 93-59-32,zoon.ru/stavropol/ritual/salon_ritualnyh_uslug_na_ulitse_telmana,,,,,,https://wa.me/79624035932,2 филиала,OK
CMP0019,Ритуальная Служба,Ставрополь,"ул. Доваторцев, 44Б",+7 (8652) 94-47-77,stavropol.rf200.ru,,,,"https://t.me/StavKost, https://t.me/RF200_bot",info@rf200.ru,https://wa.me/78652944777,,OK
CMP0022,Данила-Мастер,Пятигорск,,"+7 (902) 220-20-52, 8 (800) 100-13-39",https://pyatigorsk.danila-master.ru/,https://vk.com/danila_pamyatniki,,,https://t.me/+79022202052,"info@danila-master.ru, mail@danila-master.ru",,Гранитная мастерская,OK
