ID,Название,Город,Телефон,Адрес,Сайт,Email,Telegram,WhatsApp,VK,Notes
CMP0001,Данила-Мастер,Волгоград,"8(800)100-53-63, +7(8442)61-28-73, +7(920)130-50-76, +7(920)130-49-87, +7(920)130-49-98","ул. Ополченская, 53; ул. Рокоссовского, 30",https://volgograd.danila-master.ru,online@danila-master.ru,,https://wa.me/79022202052,,крупная сеть памятников
CMP0002,Реквием (Гранитная мастерская),Волгоград,+7(960)881-08-08,"ул. Героев Тулы, 4А/2",https://requiem-vlg.ru,info@requiem-vlg.ru,https://t.me/requiem_vlg,https://wa.me/79608810808,https://vk.com/requiem_vlg,гранитная мастерская
CMP0003,Гранит-Волга,Волгоград,"+7(8442)98-93-20, +7(917)338-93-20, +7(969)289-90-09","ул. Хиросимы, 14; ул. Землячки, 3; ул. Лавровая, 14; ул. Руднева, 2В; ул. Борьбы, 7",https://granit-volga34.ru,granit-volga@bk.ru,,,,мастерская памятников сеть 5 филиалов
CMP0004,Помни Всегда,Волгоград,,,https://volgograd.pomnivsegda.ru,avtor@pomnivsegda.ru,,,,ритуальные услуги
CMP0005,Ритуальная служба «Доверие»,Волгоград,"+7(995)377-55-36, +7(904)758-48-36","ул. Батова, 4; посёлок Аэропорт, 9А",https://volgograd.ritual-doverie.com,ritual-doverie.com@yandex.ru,,,https://vk.com/rsdoveriye,ритуальная служба 2 филиала
CMP0006,Радоница,Волгоград,,,https://ritual-volgograd.ru,,https://t.me/ritualradonica,https://wa.me/79023632657,https://vk.com/ritualradonica,ритуальный салон
CMP0007,Обелиск-Волгоград,Волгоград,,,https://obelisk-volgograd.ru,obeliskvolgograd@yandex.ru,,,,мастерская памятников
CMP0008,Каменный цветок,Волгоград,"+7(8442)60-97-60, +7(961)695-10-51","Новодвинская ул., 21Д",https://kamennyj-cvetok34.ru,karsergvoinarovskaya@gmail.com,https://telegram.me/+79616951051,,https://vk.com/public165655355,мастерская памятников
CMP0009,Гранит 2002,Волгоград,"+7(8442)91-36-67, +7(8442)25-26-67","ул. Землячки, 29",https://granit2002.ru,granit2002@mail.ru,,,,мастерская памятников
CMP0011,Granit Black,Волгоград,"+7(927)500-13-13, +7(927)511-13-13","ул. Ткачёва, 30; ул. Рокоссовского, 29; Переяславская ул., 5Б",https://black34.ru/contact,,,https://wa.me/79275001313,,гранитная мастерская сеть 3 филиала
CMP0012,Ваятель,Волгоград,"+7(8442)57-04-44, +7(904)430-34-44","ул. 8-й Воздушной Армии, 53А; Елецкая ул., 20Г",,,https://t.me/v_granit_office,,https://vk.com/vayatel34,мастерская камня 2 филиала
CMP0014,Ангелъ,Волгоград,+7(937)710-00-71,"ш. Авиаторов, 15/1",https://ritual-vlg.ru,ritualnayasluzhba.angel@yandex.ru,,https://wa.me/79377100071,,ритуальная служба и памятники
CMP0016,Профритуал,Волгоград,"+7(927)505-25-55, +7(917)640-05-69","ул. Пельше, 15А",https://profritual34.ru,p.ritual@yandex.ru,,https://wa.me/79275052555,https://www.instagram.com/p.ritual555/,ритуальная служба
CMP0017,Роскамень,Волгоград,"+7(960)890-52-00, +7(919)989-52-00","Елецкая ул., 12; Электролесовская ул., 70Л",http://izgotovlenie-pamyatnika.ru,,https://t.me/Roskamen,https://wa.me/79608905200,,мастерская памятников 2 филиала
CMP0018,Гранит-с,Волгоград,"+7(988)031-70-53, +7(8442)98-98-08","ул. Генерала Штеменко, 50А; ул. Хользунова, 70Б; ул. Батова",,,,,,мастерская памятников 3 адреса
CMP0019,Память (Землячки),Волгоград,"+7(8442)54-35-43, +7(8442)32-61-60","ул. Землячки, 74; ул. Германа Титова, 75/1; ул. Дзержинского, 14; ул. Кирова, 145; ул. Воронкова, 82А",https://похоронный-дом-память.рф,,,,,похоронный дом сеть 5 филиалов
CMP0022,Мастерская Короткова,Волгоград,+7(927)510-38-28,"ул. Шурухина, 210",https://www.xn--34-6kc6akkhn3a3k.xn--p1ai/,"korotkov.pro@yandex.ru, obelisc2005@yandex.ru",,https://wa.me/79275103828,https://vk.com/obeliscvlg,мастерская памятников
CMP0023,Обелиск,Волгоград,+7(8442)74-54-44,"ул. Шурухина, 210",,,,,,мастерская памятников
CMP0030,Каменный ангел,Волгоград,+7(961)091-66-61,Казахская ул. 21,,,,,,мастерская памятников
CMP0034,Скорая ритуальная помощь,Волгоград,+7(937)104-74-20,Кооперативная ул. 3,https://skoraja-ritualnaja-pomosch.clients.site,,,https://wa.me/79371047420,,ритуальная служба
CMP0036,Курган 34,Волгоград,+7(988)001-21-36,Новопортная ул. 51,https://kurgan-34.ru,,https://t.me/tatyana_petrenko72,,,мастерская памятников
