ID,Название,Город,Телефон,Email,Сайт,Адрес,VK,Telegram,WhatsApp,Статус
CMP0006,Stone House,"Волгодонск, Ростов-на-Дону","+7 (863) 322-03-66, +7 (863) 322-03-63",stone_house@bk.ru,https://www.stonehouse61.ru/,(уточнить),,,,active
CMP0009,ПБ Гранит,"Цимлянск, Волгодонск",+7 (918) 858-91-89,,https://пб-гранит.рф,"Московская ул., 37/19",,,,active
CMP0011,Гранитная мастерская (pamyatnik-i.ru),Ростов-на-Дону,+7 (961) 286-74-73,pamyatnik-i@mail.ru,https://pamyatnik-i.ru,"ул. Особенная, д. 11",https://t.me/Ma_ryska,,active
CMP0013,Всегда помним,Шахты,+7 (938) 161-70-70,,https://shahty.pomnivsegda.ru,"ул. Шевченко, 161",,,,active
CMP0018,Аргранит161,Батайск,+7 (928) 960-33-27,argranit161@yandex.ru,https://argranit161.ru,"ул. Тельмана, 1",,,,active
CMP0019,Вечность (Ритуальный салон),Батайск,"+7 (928) 601-46-79, +7 (995) 577-52-22",,https://ritualnie-uslugi-bataysk.clients.site,"ул. Куйбышева, 140А",,,,active
CMP0020,Компания (памятники) (Цех у Часовни),Батайск,+7 (928) 141-52-71,,https://цехучасовни.рф,"ул. Совхозная, 6а",,,,active
CMP0021,Ритуальные услуги Гранит,Батайск,"+7 (918) 393-87-14, +7 (918) 323-42-72, +7 (938) 103-33-53",,https://ритуал-гранит.рф,"ул. Максима Горького, 317",,,,active
CMP0022,Ритуальные услуги Крым-Гиреевская,Батайск,+7 (961) 273-17-73,,https://ритуал-новобатайск.рф,"Крым-Гиреевская ул., 32А",,,https://wa.me/79612731773,active
CMP0023,Ритуальный магазин (ИП Каплина Л.В.),Батайск,+7 (928) 147-66-39,,,"пер. Книжный, д. 4",,,,active
CMP0024,Ритуальный салон Память,Белая Калитва,+7 (928) 602-44-61,ritualpamyat@yandex.ru,https://bkmemory.ru,"ул. Энтузиастов, д 10 В",,,,active
